Step,DiscLoss,DiscAcc,GANLoss,GANAcc
484,0.000001,0.500000,15.914702,0.000000
485,0.000001,0.500000,16.118095,0.000000
486,0.000001,0.500000,15.944828,0.000000
487,0.000001,0.500000,16.118095,0.000000
488,0.000001,0.500000,15.951913,0.000000
489,0.000001,0.500000,16.118095,0.000000
490,0.000001,0.500000,15.988870,0.000000
491,0.000001,0.500000,16.118095,0.000000
492,0.000001,0.500000,15.987767,0.000000
493,0.000001,0.500000,16.118095,0.000000
494,0.000001,0.500000,15.973554,0.000000
495,0.000001,0.500000,16.118095,0.000000
496,0.000001,0.500000,15.980857,0.000000
497,0.000001,0.500000,16.118095,0.000000
498,0.000001,0.500000,15.960160,0.000000
499,0.000001,0.500000,16.118095,0.000000
500,0.000001,0.500000,16.005939,0.000000
